date,latitude,longitude,year
2011-08-29,42.3916233333333,-88.0891633333333,2011
2011-08-29,42.3913483333333,-88.0891633333333,2011
2011-08-29,42.3910216666667,-88.0891566666667,2011
2011-08-29,42.3906366666667,-88.0891583333333,2011
2011-08-29,42.39041,-88.0888583333333,2011
2011-08-29,42.390395,-88.08831500000002,2011
2011-08-29,42.3906733333333,-88.0880016666667,2011
2011-08-29,42.391026666666704,-88.0880016666667,2011
2011-08-29,42.391403333333294,-88.0880033333333,2011
2011-08-29,42.391718333333294,-88.08799499999998,2011
2011-08-29,42.392038333333296,-88.0879883333333,2011
2011-08-29,42.39241,-88.0880783333333,2011
2011-08-29,42.3928,-88.0883316666667,2011
2011-08-29,42.3932566666667,-88.08837,2011
2011-08-29,42.3936,-88.0882316666667,2011
2011-08-29,42.3932033333333,-88.0884166666667,2011
2011-08-29,42.3927916666667,-88.0883116666667,2011
2011-08-29,42.3924766666667,-88.08821,2011
2011-08-29,42.392385,-88.08869666666668,2011
2011-08-29,42.392098333333294,-88.0891133333333,2011
2011-08-29,42.39218,-88.0894983333333,2011
2011-08-29,42.3924283333333,-88.08979000000002,2011
2011-08-29,42.3927216666667,-88.09004166666668,2011
2011-08-29,42.3929583333333,-88.0903,2011
2011-08-29,42.39299000000001,-88.09089499999997,2011
2011-08-29,42.39300166666671,-88.0916116666667,2011
2011-08-29,42.3930083333333,-88.09201,2011
2011-08-29,42.39302,-88.0925483333333,2011
2011-08-29,42.393103333333286,-88.0931816666667,2011
2011-08-29,42.3931183333333,-88.0937366666667,2011
2011-08-29,42.393423333333295,-88.09389499999997,2011
2011-08-29,42.3937433333333,-88.094075,2011
2011-08-29,42.394105,-88.09425,2011
2011-08-29,42.394478333333296,-88.0942233333333,2011
2011-08-29,42.39486,-88.0941983333333,2011
2011-08-29,42.395085,-88.094515,2011
2011-08-29,42.395095,-88.0950266666667,2011
2011-08-29,42.395078333333295,-88.09552,2011
2011-08-29,42.39535166666671,-88.09577166666668,2011
2011-08-29,42.3956966666667,-88.0958333333333,2011
2011-08-29,42.3959833333333,-88.0957566666667,2011
2011-08-29,42.3952183333333,-88.095685,2011
2011-08-29,42.3949316666667,-88.095555,2011
2011-08-29,42.3946166666667,-88.0955966666667,2011
2011-08-29,42.39429000000001,-88.0956,2011
2011-08-29,42.3939566666667,-88.095485,2011
2011-08-29,42.3936733333333,-88.0953716666667,2011
2011-08-29,42.393331666666704,-88.0952216666667,2011
2011-08-29,42.3930366666667,-88.0951433333333,2011
2011-08-29,42.3926466666667,-88.0951383333333,2011
2011-08-29,42.392348333333295,-88.09514,2011
2011-08-29,42.39223666666671,-88.095455,2011
2011-08-29,42.3922466666667,-88.09598000000003,2011
2011-08-29,42.392463333333296,-88.096435,2011
2011-08-29,42.392838333333295,-88.09644499999997,2011
2011-08-29,42.393193333333286,-88.0964466666667,2011
2011-08-29,42.393488333333295,-88.0962666666667,2011
2011-08-29,42.393603333333296,-88.0959166666667,2011
2011-08-29,42.3936783333333,-88.0955933333333,2011
2011-08-29,42.392526666666704,-88.0951483333333,2011
2011-08-29,42.39219666666671,-88.0951633333333,2011
2011-08-29,42.39186,-88.09514,2011
2011-08-29,42.391518333333295,-88.0951433333333,2011
2011-08-29,42.39129666666671,-88.0952033333333,2011
2011-08-29,42.391275,-88.0956083333333,2011
2011-08-29,42.39127,-88.096035,2011
2011-08-29,42.3912383333333,-88.0964683333333,2011
2011-08-29,42.3909516666667,-88.0964366666667,2011
2011-08-29,42.3906416666667,-88.09644,2011
2011-08-29,42.390335,-88.0964433333333,2011
2011-08-29,42.3900483333333,-88.096435,2011
2011-08-29,42.38987,-88.0962583333333,2011
2011-08-29,42.38986666666671,-88.0958783333333,2011
2011-08-29,42.389858333333294,-88.0954866666667,2011
2011-08-29,42.389855,-88.09508000000002,2011
2011-08-29,42.389843333333296,-88.0946666666667,2011
2011-08-29,42.389835,-88.0942183333333,2011
2011-08-29,42.38971166666671,-88.09391,2011
2011-08-29,42.38946,-88.09389499999997,2011
2011-08-29,42.3897216666667,-88.09383333333332,2011
2011-08-29,42.3898566666667,-88.09490500000003,2011
2011-08-29,42.39006666666671,-88.095155,2011
2011-08-29,42.39057,-88.0951433333333,2011
2011-08-29,42.3909533333333,-88.095145,2011
2011-08-29,42.391225,-88.0951533333333,2011
2011-08-29,42.3915316666667,-88.095155,2011
2011-08-29,42.391855,-88.0951716666667,2011
2011-08-29,42.3929883333333,-88.09496999999998,2011
2011-08-29,42.3930533333333,-88.094515,2011
2011-08-29,42.3930933333333,-88.09405500000003,2011
2011-08-29,42.3929016666667,-88.0938533333333,2011
2011-08-29,42.3925866666667,-88.0938666666667,2011
2011-08-29,42.3923083333333,-88.0938733333333,2011
2011-08-29,42.3921833333333,-88.0937666666667,2011
2011-08-29,42.392508333333296,-88.09384666666668,2011
2011-09-07,41.9814333333333,-87.7877766666667,2011
2011-09-07,41.9809983333333,-87.7877783333333,2011
2011-09-07,41.98056,-87.7877616666667,2011
2011-09-07,41.9801983333333,-87.7877583333333,2011
2011-09-07,41.9797516666667,-87.78776500000002,2011
2011-09-07,41.9793516666667,-87.7877533333333,2011
2011-09-07,41.97885,-87.7877633333333,2011
2011-09-07,41.978398333333296,-87.7877733333333,2011
2011-09-07,41.97799000000001,-87.78775999999998,2011
2011-09-07,41.97749500000001,-87.7877783333333,2011
2011-09-07,41.975373333333295,-87.78783666666668,2011
2011-09-07,41.9748233333333,-87.7878416666667,2011
2011-09-07,41.9742833333333,-87.7878666666667,2011
2011-09-07,41.97381,-87.78788,2011
2011-09-07,41.9733533333333,-87.78788,2011
2011-09-07,41.972905,-87.7878933333333,2011
2011-09-07,41.97244666666671,-87.7878933333333,2011
2011-09-07,41.9719183333333,-87.7879216666667,2011
2011-09-07,41.9713833333333,-87.7879283333333,2011
2011-09-07,41.970898333333295,-87.78792,2011
2011-09-07,41.9704,-87.7879466666667,2011
2011-09-07,41.96987,-87.7879616666667,2011
2011-09-07,41.96934,-87.7879783333333,2011
2011-09-07,41.9685533333333,-87.78869499999998,2011
2011-09-07,41.9685566666667,-87.7891083333333,2011
2011-09-07,41.9687633333333,-87.7891483333333,2011
2011-09-07,41.96886666666671,-87.789165,2011
2011-09-07,41.96914500000001,-87.7891766666667,2011
2011-09-07,41.96942166666671,-87.7892016666667,2011
2011-09-07,41.96969166666671,-87.7892033333333,2011
2011-09-07,41.9702533333333,-87.7892466666667,2011
2011-09-07,41.970648333333294,-87.7892433333333,2011
2011-09-07,41.9709966666667,-87.7892333333333,2011
2011-09-07,41.9713833333333,-87.789225,2011
