,date,species,totalmosquitos,wnvpresent,trap,latitude,longitude
0,2007-05-29,CULEX PIPIENS,1,0,T096,41.731922,-87.677512
1,2007-05-29,CULEX PIPIENS/RESTUANS,1,0,T086,41.688324,-87.676709
2,2007-05-29,CULEX PIPIENS/RESTUANS,1,0,T048,41.867108,-87.654224
3,2007-05-29,CULEX PIPIENS/RESTUANS,1,0,T129,41.891126,-87.61156
4,2007-05-29,CULEX PIPIENS/RESTUANS,1,0,T050,41.919343,-87.694259
5,2007-05-29,CULEX PIPIENS/RESTUANS,2,0,T054,41.921965,-87.632085
6,2007-05-29,CULEX PIPIENS/RESTUANS,1,0,T002,41.95469,-87.800991
7,2007-05-29,CULEX PIPIENS/RESTUANS,1,0,T015,41.974089,-87.824812
8,2007-05-29,CULEX PIPIENS/RESTUANS,1,0,T143,41.999129,-87.795585
9,2007-05-29,CULEX PIPIENS/RESTUANS,1,0,T148,42.01743,-87.68776899999997
10,2007-05-29,CULEX RESTUANS,1,0,T086,41.688324,-87.676709
11,2007-05-29,CULEX RESTUANS,3,0,T094,41.720848,-87.666014
12,2007-05-29,CULEX RESTUANS,5,0,T096,41.731922,-87.677512
13,2007-05-29,CULEX RESTUANS,1,0,T159,41.732984,-87.649642
14,2007-05-29,CULEX RESTUANS,1,0,T091,41.862292,-87.64886
15,2007-05-29,CULEX RESTUANS,2,0,T048,41.867108,-87.654224
16,2007-05-29,CULEX RESTUANS,1,0,T046,41.891118,-87.65449100000002
17,2007-05-29,CULEX RESTUANS,2,0,T129,41.891126,-87.61156
18,2007-05-29,CULEX RESTUANS,1,0,T049,41.896282,-87.655232
19,2007-05-29,CULEX RESTUANS,1,0,T153,41.907645,-87.760886
20,2007-05-29,CULEX RESTUANS,2,0,T045,41.9216,-87.666455
21,2007-05-29,CULEX RESTUANS,3,0,T054,41.921965,-87.632085
22,2007-05-29,CULEX RESTUANS,1,0,T002,41.95469,-87.800991
23,2007-05-29,CULEX RESTUANS,4,0,T015,41.974089,-87.824812
24,2007-05-29,CULEX RESTUANS,1,0,T007,41.994991,-87.769279
25,2007-06-05,CULEX PIPIENS,1,0,T135,41.662014,-87.72460799999998
26,2007-06-05,CULEX PIPIENS,1,0,T096,41.731922,-87.677512
27,2007-06-05,CULEX PIPIENS,2,0,T048,41.867108,-87.654224
28,2007-06-05,CULEX PIPIENS,1,0,T045,41.9216,-87.666455
29,2007-06-05,CULEX PIPIENS,1,0,T002,41.95469,-87.800991
30,2007-06-05,CULEX PIPIENS/RESTUANS,2,0,T135,41.662014,-87.72460799999998
31,2007-06-05,CULEX PIPIENS/RESTUANS,3,0,T158,41.682587,-87.707973
32,2007-06-05,CULEX PIPIENS/RESTUANS,2,0,T094,41.720848,-87.666014
33,2007-06-05,CULEX PIPIENS/RESTUANS,1,0,T162,41.725517,-87.61425799999998
34,2007-06-05,CULEX PIPIENS/RESTUANS,1,0,T096,41.731922,-87.677512
35,2007-06-05,CULEX PIPIENS/RESTUANS,1,0,T031,41.801498,-87.763416
36,2007-06-05,CULEX PIPIENS/RESTUANS,1,0,T048,41.867108,-87.654224
37,2007-06-05,CULEX PIPIENS/RESTUANS,1,0,T090,41.868077,-87.666901
38,2007-06-05,CULEX PIPIENS/RESTUANS,1,0,T092,41.869216,-87.627561
39,2007-06-05,CULEX PIPIENS/RESTUANS,1,0,T151,41.916265,-87.800515
40,2007-06-05,CULEX PIPIENS/RESTUANS,1,0,T050,41.919343,-87.694259
41,2007-06-05,CULEX PIPIENS/RESTUANS,1,0,T045,41.9216,-87.666455
42,2007-06-05,CULEX PIPIENS/RESTUANS,2,0,T218,41.948167,-87.730698
43,2007-06-05,CULEX PIPIENS/RESTUANS,1,0,T142,41.953067,-87.776792
44,2007-06-05,CULEX PIPIENS/RESTUANS,3,0,T002,41.95469,-87.800991
45,2007-06-05,CULEX PIPIENS/RESTUANS,1,0,T146,41.958271,-87.702575
46,2007-06-05,CULEX PIPIENS/RESTUANS,1,0,T141,41.961743,-87.76007
47,2007-06-05,CULEX PIPIENS/RESTUANS,1,0,T015,41.974089,-87.824812
48,2007-06-05,CULEX PIPIENS/RESTUANS,1,0,T149,41.994469,-87.667736
49,2007-06-05,CULEX PIPIENS/RESTUANS,2,0,T143,41.999129,-87.795585
50,2007-06-05,CULEX RESTUANS,4,0,T135,41.662014,-87.72460799999998
51,2007-06-05,CULEX RESTUANS,8,0,T158,41.682587,-87.707973
52,2007-06-05,CULEX RESTUANS,4,0,T086,41.688324,-87.676709
53,2007-06-05,CULEX RESTUANS,1,0,T089,41.723195,-87.64997
54,2007-06-05,CULEX RESTUANS,1,0,T096,41.731922,-87.677512
55,2007-06-05,CULEX RESTUANS,1,0,T159,41.732984,-87.649642
56,2007-06-05,CULEX RESTUANS,1,0,T152,41.846075,-87.716277
57,2007-06-05,CULEX RESTUANS,1,0,T048,41.867108,-87.654224
