date,species,totalmosquitos,wnvpresent,trap,latitude,longitude,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,BC,HZ,DZ,VC,SQ,TS,RA,GR,MI,BR,FU,FG+,FG,SN,rel_humid,tavg_change,tavg_lag5,tavg_lag14,tavg_lag28,rel_humid_lag5,rel_humid_lag14,rel_humid_lag28,avgspeed_lag5,avgspeed_lag14,avgspeed_lag28,preciptotal_lag5,preciptotal_lag14,preciptotal_lag28
2007-05-29,CULEX PIPIENS,1,0,T096,41.731922,-87.677512,88,62,75,11,58,65,0,10,421,1917,0.0,29.42,30.1,5.8,17,6.95,0,1,0,0,0,0,0,0,0,1,0,0,0,0,62.733525549370746,3.0,65.2,64.35714285714286,63.42857142857143,59.22136731226856,40.69280515438298,38.8855970473612,7.51,9.682142857142855,10.2,0.15,0.06928571428571427,0.05535714285714286
2007-05-29,CULEX PIPIENS/RESTUANS,1,0,T086,41.688324,-87.676709,88,62,75,11,58,65,0,10,421,1917,0.0,29.42,30.1,5.8,17,6.95,0,1,0,0,0,0,0,0,0,1,0,0,0,0,62.733525549370746,3.0,65.2,64.35714285714286,63.42857142857143,59.22136731226856,40.69280515438298,38.8855970473612,7.51,9.682142857142855,10.2,0.15,0.06928571428571427,0.05535714285714286
2007-05-29,CULEX PIPIENS/RESTUANS,1,0,T048,41.867108,-87.654224,88,62,75,11,58,65,0,10,421,1917,0.0,29.42,30.1,5.8,17,6.95,0,1,0,0,0,0,0,0,0,1,0,0,0,0,62.733525549370746,3.0,65.2,64.35714285714286,63.42857142857143,59.22136731226856,40.69280515438298,38.8855970473612,7.51,9.682142857142855,10.2,0.15,0.06928571428571427,0.05535714285714286
2007-05-29,CULEX PIPIENS/RESTUANS,1,0,T129,41.891126,-87.61156,88,62,75,11,58,65,0,10,421,1917,0.0,29.42,30.1,5.8,17,6.95,0,1,0,0,0,0,0,0,0,1,0,0,0,0,62.733525549370746,3.0,65.2,64.35714285714286,63.42857142857143,59.22136731226856,40.69280515438298,38.8855970473612,7.51,9.682142857142855,10.2,0.15,0.06928571428571427,0.05535714285714286
2007-05-29,CULEX PIPIENS/RESTUANS,1,0,T050,41.919343,-87.694259,88,62,75,11,58,65,0,10,421,1917,0.0,29.42,30.1,5.8,17,6.95,0,1,0,0,0,0,0,0,0,1,0,0,0,0,62.733525549370746,3.0,65.2,64.35714285714286,63.42857142857143,59.22136731226856,40.69280515438298,38.8855970473612,7.51,9.682142857142855,10.2,0.15,0.06928571428571427,0.05535714285714286
2007-05-29,CULEX PIPIENS/RESTUANS,2,0,T054,41.921965,-87.632085,88,62,75,11,58,65,0,10,421,1917,0.0,29.42,30.1,5.8,17,6.95,0,1,0,0,0,0,0,0,0,1,0,0,0,0,62.733525549370746,3.0,65.2,64.35714285714286,63.42857142857143,59.22136731226856,40.69280515438298,38.8855970473612,7.51,9.682142857142855,10.2,0.15,0.06928571428571427,0.05535714285714286
2007-05-29,CULEX PIPIENS/RESTUANS,1,0,T002,41.95469,-87.800991,88,62,75,11,58,65,0,10,421,1917,0.0,29.42,30.1,5.8,17,6.95,0,1,0,0,0,0,0,0,0,1,0,0,0,0,62.733525549370746,3.0,65.2,64.35714285714286,63.42857142857143,59.22136731226856,40.69280515438298,38.8855970473612,7.51,9.682142857142855,10.2,0.15,0.06928571428571427,0.05535714285714286
2007-05-29,CULEX PIPIENS/RESTUANS,1,0,T015,41.974089,-87.824812,88,62,75,11,58,65,0,10,421,1917,0.0,29.42,30.1,5.8,17,6.95,0,1,0,0,0,0,0,0,0,1,0,0,0,0,62.733525549370746,3.0,65.2,64.35714285714286,63.42857142857143,59.22136731226856,40.69280515438298,38.8855970473612,7.51,9.682142857142855,10.2,0.15,0.06928571428571427,0.05535714285714286
2007-05-29,CULEX PIPIENS/RESTUANS,1,0,T143,41.999128999999996,-87.795585,88,62,75,11,58,65,0,10,421,1917,0.0,29.42,30.1,5.8,17,6.95,0,1,0,0,0,0,0,0,0,1,0,0,0,0,62.733525549370746,3.0,65.2,64.35714285714286,63.42857142857143,59.22136731226856,40.69280515438298,38.8855970473612,7.51,9.682142857142855,10.2,0.15,0.06928571428571427,0.05535714285714286
2007-05-29,CULEX PIPIENS/RESTUANS,1,0,T148,42.01743,-87.68776899999996,88,62,75,11,58,65,0,10,421,1917,0.0,29.42,30.1,5.8,17,6.95,0,1,0,0,0,0,0,0,0,1,0,0,0,0,62.733525549370746,3.0,65.2,64.35714285714286,63.42857142857143,59.22136731226856,40.69280515438298,38.8855970473612,7.51,9.682142857142855,10.2,0.15,0.06928571428571427,0.05535714285714286
