index,rfc_proba
1,0.022943667985600977
2,0.01483438986726781
3,0.022943667985600977
4,0.014577380265073023
5,0.014577380265073023
6,0.014577380265073023
7,0.014577380265073023
8,0.014577380265073023
9,0.022943667985600977
10,0.01483438986726781
11,0.022943667985600977
12,0.014577380265073023
13,0.014577380265073023
14,0.014577380265073023
15,0.014577380265073023
16,0.014577380265073023
17,0.022943667985600977
18,0.01483438986726781
19,0.022943667985600977
20,0.014332212302263569
21,0.014332212302263569
22,0.014332212302263569
23,0.014332212302263569
24,0.014332212302263569
25,0.022943667985600977
26,0.014758632291510233
27,0.022943667985600977
28,0.014577380265073023
29,0.014577380265073023
30,0.014577380265073023
31,0.014577380265073023
32,0.014577380265073023
33,0.029531542794092994
34,0.014758632291510233
35,0.029531542794092994
36,0.014577380265073023
37,0.014577380265073023
38,0.014577380265073023
39,0.014577380265073023
40,0.014577380265073023
41,0.022864876127426322
42,0.014758632291510233
43,0.022864876127426322
44,0.014577380265073023
45,0.014577380265073023
46,0.014577380265073023
47,0.014577380265073023
48,0.014577380265073023
49,0.029531542794092994
50,0.014758632291510233
51,0.029531542794092994
52,0.014577380265073023
53,0.014577380265073023
54,0.014577380265073023
55,0.014577380265073023
56,0.014577380265073023
57,0.022943667985600977
58,0.014758632291510233
59,0.022943667985600977
60,0.014577380265073023
61,0.014577380265073023
62,0.014577380265073023
63,0.014577380265073023
64,0.014577380265073023
65,0.029610334652267648
66,0.014758632291510233
67,0.029610334652267648
68,0.014577380265073023
69,0.014577380265073023
70,0.014577380265073023
71,0.014577380265073023
72,0.014577380265073023
73,0.022864876127426322
74,0.01471167915557518
75,0.022864876127426322
76,0.014577380265073023
77,0.014577380265073023
78,0.014577380265073023
79,0.014577380265073023
80,0.014577380265073023
81,0.022864876127426322
82,0.014758632291510233
83,0.022864876127426322
84,0.014577380265073023
85,0.014577380265073023
86,0.014577380265073023
87,0.014577380265073023
88,0.014577380265073023
89,0.022864876127426322
90,0.01471167915557518
91,0.022864876127426322
92,0.014577380265073023
93,0.014577380265073023
